judul,label,isi_berita,url
Panas! Dewi Tanjung: Saya Bisa Menenggelamkan Seorang Susi Pudjiastuti,POLITIK,"GELORA.CO - Politikus PDIP Dewi Tanjung kembali berbicara tentang mantan Menteri Kelautan dan Perikanan, Susi Pudjiastuti.Dewi Tanjung menyebut kalau dirinya dapat menenggelamkan Susi Pudjiastuti. Sementara, dia menilai Susi tidak dapat melakukan hal tersebut.""Bu Susi anda mungkin bisa menenggelamkan Kapal Nelayan. Tapi anda tidak akan bisa menenggelamkan seorang Dewi Tanjung. Tapi saya bisa menenggelamkan seorang Susi Pudjiastuti,"" kata Dewi Tanjung melalui akun twitternya @DTanjung15, Kamis (4/2/2021).Dia mengatakan dirinya dapat melakukan hal itu karena tidak punya dosa kepada rayat kecil.""Karna saya tidak punya beban dosa kepada rakyat kecil. Dan saya membela kebenaran, rakyat & Negara republik Indonesia,"" ujarnya.Cuitan Dewi Tanjung soal Susi Pudjiastuti.[Twitter/@DTanjung15]Sebelumnya, Dewi Tanjung membandingkan dirinya dengan Mantan Menteri Kelautan dan Perikanan, Susi Pudjiastuti.Dewi Tanjung membuat menyampaikan, bahwa saat ini terdapat kelompok orang yang membela Susi Pudjiastuti walaupun dulu menghinanya.""Kadrun yang dulu menghina Bu Susi skarang berlomba-lomba membela Bu Susi,"" kata Dewi Tanjung melalui akun twitternya Dewi Tanjung15 @DTanjung15 seperti dikutip Suara.com, Kamis (4/2/2021).Dirinya mengaku tidak satu level dengan Susi Pudjiastuti.""Memang Nyai dan Bu susi tidak satu level. Walau caleg gagal tapi Nyai kuliah lho dan umur Nyai lebih muda kaleee dari Bu susi,"" tulisnya.[sc]",https://www.gelora.co/2021/02/panas-dewi-tanjung-saya-bisa.html
"Ditegur Ibu Kos Gegara Teman Menginap, Pemuda Ini Beri Balasan Telak",PERISTIWA,"GELORA.CO - Seorang pemuda diberi 'surat cinta' berisi teguran oleh ibu kos gara-gara membawa teman menginap di kamar.Merespon hal ini, si pemuda rupanya memberikan balasan telak. Perseteruan antara keduanya viral setelah surat teguran dari ibu kos tersebut beredar di media sosial.Hal ini diketahui dari akun Twitter @txtdariibukos yang mengunggah penampakan pesan teguran dari ibu kos tersebut pada Rabu (3/2/2021).Dalam unggahan tersebut, nampak foto kolase yang menunjukkan sebuah kertas ditempel di pintu.Pada foto pertama, kertas tersebut berisi pesan dari ibu kos untuk si penghuni kamar yang membiarkan teman menginap.Si ibu kos memperingatkan bahwa penghuni kos tak boleh membawa teman menginap di kamar. Jika tak setuju dengan peraturan itu, ia menyarankan agar yang bersangkutan pindah.""Jangan bawa teman menginap. Kalau tidak suka lebih baik pindah,"" tulis ibu kos, dikutip SuaraJabar.id, Kamis (4/2).Pemuda ditegur ibu kos gegara teman menginap. (Twitter/txtdariibukos)Sementara dalam foto kedua, terlihat si pemilik kamar yang bernama Adam, membalas pesan peringatan yang dilayangkan ibu kos.Adam menulis balasan telak di bawah kalimat peringatan yang dituliskan ibu kos.""Ngomong langsung ke saya bu! (Adam),"" balasnya.Tak sampai di situ, si penghuni kos ini juga menyelipkan pesan tambahan yang dituliskan kecil-kecil di pojok kertas. Diduga karena tak muat.""Jangan bikin saya malah nempel-nempel beginian,"" katanya.Kontan, aksi pemuda membalas surat cinta dari ibu kos ini langsung mengundang beragam reaksi warganet.""Bener-bener lu dam,"" tulis akun @tissu***.""Ada tidak ada WhatsApp,"" kata @masih***.""Nunggu balasan selanjutnya,"" imbuh @benga***.""Ibu kosnya introvert,"" timpal keroro***.[sc]",https://www.gelora.co/2021/02/ditegur-ibu-kos-gegara-teman-menginap.html
Bos Pasar Muamalah Ternyata Pesan Dinar dan Dirham dari Antam,NASIONAL,"GELORA.CO - Zaim Saidi ternyata mendapatkan koin dinar dan dirham dari PT Aneka Tambang (Persero) Tbk atau Antam. Setelah mendapatkan dinar dan dirham dari Antam, Zaim Saidi kemudian menentukan harga beli koin dinar dan dirham sebagai alat transaksi keuangan di Pasar Muamalah sebesar 2,5 persen di atas harga Antam.Adapun dinar yang digunakan sebagai alat transaksi keuangan di Pasar Muamalah Depok ialah koin emas seberat 4 1/4 gram 22 karat. Sedangkan dirham yang digunakan adalah koin perak seberat 2,975 gram perak murni.""Tersangka ZS menentukan harga beli koin dinar dan dirham tersebut sesuai harga PT Aneka tambang atau Antam ditambah 2,5 persen sebagai margin keuntungannya,"" kata Kabag Penum Divisi Humas Mabes Polri Kombes Pol Ahmad Ramadhan di Mabes Polri, Kebayoran Baru, Jakarta Selatan, Rabu (3/2/2021) kemarin.Ramadhan menyebut, 1 dinar yang digunakan sebagai alat transaksi keuangan di Pasar Muamalah setara dengan Rp 4 juta. Sedangkan, 2 dirham setara dengan nilai Rp 73.500.Pasar Muamalah Depok transaksi pakai dinar dan dirham (Youtube Arsip Nusantara)""Dinar dan dirham tersebut dipesan dari PT Antam Kesultanan Bintan, Kesultanan Cirebon, Kesultanan Ternate dengan harga sesuai acuan PT Antam. Selain itu dirham perak diperoleh dari pengrajin daerah Pulomas Jakarta dengan harga lebih murah dari acuan PT Antam,"" imbuhnya.Zaim Saidi sebelumnya ditangkap oleh penyidik Direktorat Tindak Pidana Ekonomi Khusus (Dit Tipideksus) Bareskrim Polri pada Selasa (2/2) kemarin malam.Dia ditangkap selaku pendiri Pasar Muamalah Depok yang menggunakan dinar dan dirham sebagai alat transaksi keuangan.Penggunaan dinar dan dirham sebagai alat transaksi keuangan di Pasar Muamalah Depok sempat menghebohkan jagat media sosial.Belakangan terkuak bahwa Pasar Muamalah Depok yang berlokasi di Jalan Raya Tanah Baru, Beji, Kota Depok, Jawa Barat itu telah beroperasi sejak 2014 silam.""Telah dilakukan sejak tahun 2014. Pasar tersebut dilaksanakan dua minggu sekali yaitu hari Minggu pukul 10.00 sampai 12.00 WIB,"" beber Ramadhan.Seorang warga melintas depan ruko pasar muamalah yang disegel polisi di Tanah Baru, Depok, Jawa Barat, Rabu (3/2/2021). [ANTARA FOTO/Asprilla Dwi Adha]Dari hasil pemeriksaan sementara diketahui bahwa Pasar Muamalah Depok didirikan di lahan milik tersangka Zaim Saidi. Ada sekitar 15 pelapak yang berdagang di pasar tersebut.Zaim Saidi berdalih mendirikan Pasar Muamalah dengan menggunakan alat transaksi keuangan dinar dan dirham bagi masyarakat khusus yang ingin berdagang mengikuti tradisi pasar di zaman Nabi.""Dibentuk oleh tersangka ZS untuk komunitas masyarakat yang ingin berdagang dengan aturan yang mengikuti tradisi pasar di zaman nabi seperti adanya pungutan sewa tempat dan transaksi pembayaran jual-beli dengan menggunakan dirham dan dinar,"" ungkap Ramadhan.Kekinian, atas perbuatannya Zaim Saidi dipersangkakan dengan Pasal 9 Undang-Undang Nomor 1 Tahun 1945 tentang Hukum Pidana dan Pasal 33 Undang-Undang Nomor 7 Tahun 2011 tentang Mata Uang. Dia terancam hukuman 1 tahun penjara dan denda Rp200 juta.[sc]",https://www.gelora.co/2021/02/bos-pasar-muamalah-ternyata-pesan-dinar.html
"Kasus Islam Arogan, Sudah 2 Hari Abu Janda 'Hilang' di Twitter, ke Mana?",PERISTIWA,"GELORA.CO - Permadi Arya atau Abu Janda hilang di Twitter. Abu Janda sudah 2 hari tak berkicau di media sosial Twitter.Dilihat dari akun twitter pribadi Permadi Arya @permadiaktivis1, sudah dua hari ini tidak terlihat aktif. Padahal, dilihat dari twitter pribadinya Abu Janda tersebut, dalam satu hari dia sering melakukan cuitan sebanyak tiga kali, bahkan lebih.Pada akun twitter pribadinya Abu Janda, dia melakukan cuitan pada 31 Januari 2021 pukul 11.16 WIB.Dalam cuitannya yang juga menampilkan sebuah video kiai Nahdatul Ulama (NU) dan Barisan Kesatria Nusantara mengatakan, bahwa Abu Janda tidak punya niat menghina agama Islam.Abu Janda merasa, bahwa dirinya merupakan korban tweet yang sengaja dipotong kronologisnya tanpa konteks.Pegiat media sosial, Permadi Arya alias Abu Janda, usai menjalani pemeriksaan Direktorat Tindak Pidana Siber (Dit Tipidsiber) Bareskrim Polri terkait kasus ujaran kebencian 'Islam Arogan', Senin (1/2/2021) malam. [Suara.com/Muhammad Yasir]Padahal, kata Abu Janda, dirinya melakukan cuitan ditujukan kepada Ustaz Tengku Zul. Bukan ditujukan kepada generasi semua Islam.""Video Kiai NU dari Barisan Ksatria Nusantara, yakin Abu Janda tidak punya niat menghina islam. Betul Kiai. saya korban twit yang dipotong kronologinya tanpa konteks. Padahal itu twit ditujukan ke TengkuZul, & hanya untuk TengkuZul. Bukan ditujukan untuk generalisasi semua islam,"" kata Abu Janda dikutip Suarabogor.id pada cuitan di akun twitter pribadinya, Kamis (4/2/2021).Tak hanya itu, Abu Janda juga turut melakukan cuitannya kembali dengan menampilkan sebuah pemberitaan dirinya, kaitan Barisan Kesatria NU yang berstatmen bahwa Abu Janda tidak berniat menghina Islam.Cuitannya itu pun dilakukan pada 31 Januari 2021. Pukul 10.54 WIB.Pada cuitannya tersebut, Abu Janda meminta kepada semua khalayak pengguna twitter agar meretwit kembali.Tak sampai disitu, Abu Janda juga turut melakukan cuitannya kembali dihari yang sama pada pukul 10.53 WIB.Abu Janda pada cuitannya itu merasa dizalimi, dia mengaku tidak pernah melontarkan bahwa Islam Arogan.Namun, dirinya melontarkan bahwa Islam pendatang dari Arab yang arogan dan itu ditunjukkan ke Ustad Tengku Zulkarnain.Pegiat media sosial, Permadi Arya alias Abu Janda, usai menjalani pemeriksaan Direktorat Tindak Pidana Siber (Dit Tipidsiber) Bareskrim Polri terkait kasus ujaran kebencian 'Islam Arogan', Senin (1/2/2021) malam. [Suara.com/Muhammad Yasir]""Saya tak pernah bilang 'islam arogan', saya bilang 'islam pendatang dari Arab' yg arogan & itu ditujukan ke Tengkuzul. yang saya maksud itu aliran Salafi Wahabi. Saat twit saya diviralkan bagian twit Tengkuzul nya dibuang, jadi seolah saya generalisasi islam. Terima kasih Kiai ,"" pada cuitannya itu, Abu Janda turut menampilkan cuitan Tengku Zulkarnain dan sebuah pemberitaan salah satu media online.Cuitan Abu Janda yang terakhir itupun pada 1 Februari 2021 pukul 7.46 WIB.Terlihat, Abu Janda menampilkan dua foto dengan ekspresi berbeda, bersama Gus Miftah pun juga dengan Dedi Corbuzier diruangan Podcat Corbuzier.""Gus @gusmiftah_ , maafkan murid nakalmu yang suka merepotkan & bikin pusing.. maklum posisi striker sekali-sekali pasti kena offside. Terima kasih bang Deddy @corbuzier berkenan fasilitasi tabayyun ini,"" cuitan Abu Janda di akun Twitter pribadinya dua hari lalu.Sekedar informasi, sebelumnya Direktorat Tindak Pidana Siber (Dit Tipidsiber) Bareskim Polri resmi menerima laporan Dewan Pimpinan Pusat Komit Nasional Pemuda Indonesia (DPP KNPI) terhadap Permadi Arya alias Abu Janda.Pegiat media sosial itu dilaporkan atas dugaan telah melakukan ujaran kebencian bernada suku, agama, ras dan antar golongan atau SARA kepada mantan Komisioner Komnas HAM Natalius Pigai.Laporan DPP KNPI itu telah terdaftar dengan Nomor: LP/B/0052/I/Bareskrim tertanggal 28 Januari 2021.""Telah diterima laporan kami alhamdulilah, secara kooperatif dari polisi. Sudah kami lampirkan juga bukti-buktinya,"" kata Ketua Bidang Hukum DPP KNPI, Medya RIscha Lubis di Mabes Polri, Kebayoran Baru, Jakarta Selatan, Kamis (28/1/2021) lalu.[sc]",https://www.gelora.co/2021/02/kasus-islam-arogan-sudah-2-hari-abu.html
Mantu Pakde Karwo Pastikan DPC Demokrat se-Jatim Loyal Terhadap AHY,POLITIK,"GELORA.CO - Upaya pihak-pihak yang ingin merongrong kepemimpinan Agus Harimurti Yudhoyono (AHY) sebagai Ketua Umum Partai Demokrat akan berujung sia-sia.Sebab, ditegaskan Sekretaris DPD Partai Demokrat Jatim, Bayu Airlangga, hampir semua kader serta pengurus Demokrat di seluruh Jawa Timur tetap solid setia bersama AHY, sesuai hasil Kongres V Partai Demokrat 2020.""Kami tidak akan goyah sedikitpun. Pengurus dan kader di Jatim akan patuh dan loyal terhadap mas AHY sebagai Ketua Umum kami,"" tegas Bayu Airlangga, Rabu (3/2), dikutip Kantor Berita RMOLJatim.Politikus muda ini kembali menegaskan, kekompakan pengurus dan kader dalam barisan yang dikomandani AHY di Partai Demokrat tidak akan goyah sedikitpun.Ia menilai saat ini sosok AHY adalah figur yang bisa diterima oleh tak hanya kader Demokrat tapi oleh seluruh simpatisan maupun rakyat secara luas.Hal ini terbukti dalam Kongres V Partai Demokrat pada Maret 2020 lalu, kata Bayu, telah memutuskan secara aklamasi AHY sebagai Ketua Umum. Itu sebuah bukti bahwa sosok AHY benar-benar didukung kader seluruh Indonesia, termasuk di Jatim.""Para pengurus partai khususnya DPC se-Jatim telah kontak saya. Mereka siap membuat peryataan tetap setia terhadap Partai Demokrat di bawah kepemimpinan mas AHY,"" ungkap pria yang juga menantu mantan Ketua DPD Demokrat Jatim, Soekarwo, atau yang biasa disapa Pakde Karwo.Bagi Demokrat Jatim, lanjut Bayu, sosok AHY akan membawa kebesaran partai. Sebagai sosok pemimimpin masa depan yang ditunggu masyarakat Indonesia.""Kami berharap seluruh senior dan kader Partai Demokrat juga menghormati hasil Kongres, serta tetap menjaga keharmonisan di Partai yang kita cintai ini,” tutup Wakil Ketua Komisi A DPRD Jatim ini.(RMOL)",https://www.gelora.co/2021/02/mantu-pakde-karwo-pastikan-dpc-demokrat.html
"Hari Ini Abu Janda Diperiksa Polisi Soal Dugaan Rasisme Ke Natalius Pigai, Ada Kemungkinan Ditahan?",HUKUM,"GELORA.CO - Direktorat Tindak Pidana Siber Bareskrim Polri mengagendakan pemeriksaan terhadap Permadi Arya alias Abu Janda hari ini, Kamis (4/2) dalam kasus dugaan tindakan rasis kepada eks Komisioner Komnas HAM, Natalius Pigai.Abu Janda sebelumnya pada Senin (1/2) yang lalu telah diperiksa atas kasus dugaan menghina Islam karena menyebut Islam sebagai agama arogan. Abu Janda dicecar 50 pertanyaan oleh polisi kala itu.""Pemeriksaan didasarkan pada LP nomor 52 ini menyangkut Natalius Pigai, yang bersangkutan (Permadi Arya) akan diperiksa di Bareskrim Polri,"" kata Karo Penmas Divisi Humas Polri Brigjen Rusdi Hartono di Jakarta, Rabu (3/2).Dengan dilakukannya rangkaian pemeriksaan tersebut, Rusdi memastikan pihak kepolisian akan mengusut tuntas kasus yang menyeret Abu Janda. Rusdi pun mengimbau masyarakat untuk tidak melakukan tindakan kontra produktif dan mempercayakan penanganan kasus kepada polisi.""Percayakan kepada Polri untuk menyelesaikan itu semua. Sehingga tidak perlu melakukan tindakan yang kontra produktif berujung kegaduhan, yakini Polri akan selesaikan seluruh kasus yang dilaporkan secara profesional, akuntabel dan terbuka,"" harap Rusdi. (RMOL)",https://www.gelora.co/2021/02/hari-ini-abu-janda-diperiksa-polisi.html
"Soal Tweet 'Evolusi' Abu Janda, Ahli Bahasa: Ada Ketidaksenangan Dan Merendahkan Natalius Pigai",PERISTIWA,"GELORA.CO - Pakar Bahasa dari Universitas Islam Negeri (UIN) Jakarta, Hilmi Akmal berpendapat, tweet 'Evolusi' Permadi Arya alias Abu Janda kepada mantan Komisioner Komnas HAM Natalius Pigai memperlihatkan ketidaksenangan dan merendahkan.Hilmi mengulas, setidaknya terdapat dua proposisi interogatif, yakni pertama--dikutip dari tweet Abu Janda terhadap Natalius Pigai ""Kau @Natalius Pigai2 apa kapasitas kau? dan yang kedua sudah selesai evolusi belum kau?.Dari dua proposisi interogatif itu menurut Hilmi, adanya diksi evolusi jelas-jelas menunjukkan ketidaksenangan Abu Janda dengan pak Natalius Pigai.""Terkait dengan cuitan yang rasis, inferensi yang bisa ditarik adalah saya melihat ada ketidaksenangan Abu Janda dengan pak Pigai. Sehingga membuat proposisi dalam bentuk interogatif yang maknanya merendahkan pak Pigai,"" kata Hilmi kepada wartawan di Jakarta, Kamis (4/2).Sementara terkait dengan tweetnya yang menyebut 'Islam Arogan', kesimpulan yang bisa ditarik ialah, pria yang memiliki nama lengkap Heddy Setya Permadi ini ini tidak memahami Islam secara mendalam sehingga mengeluarkan proposisi seperti itu.Menurut Hilmi, jika memang yang dimaksud adalah--sebagaimana pembelaannya di media Islam yang arogan adalah Islam yang diusung oleh kelompok tengku Zulkarnain, mestinya disebutkan saja secara eksplisit sehingga tidak membuat orang yang membaca proposisi itu menginferensikannya Islam adalah agama yang arogan.""Padahal, kalau mau baca sedikit sejarah masuknya Islam ke Indonesia, dia akan paham bahwa Islam jauh dari kata arogan. Justru Islam yang datang ke Indonesia bisa diterima masyarakat karena budaya yang ada diasimilasikan dengan nilai-nilai Islam,"" pungkas Hilmi.Bareskrim Polri menjadwalkan pemeriksaan Permadi Arya atau Abu Janda hari ini, Kamis (4/2). Kali ini pegiat sosial itu diperiksa dalam kasus dugaan tindakan rasis kepada eks Komisioner Komnas HAM, Natalius Pigai(RMOL)",https://www.gelora.co/2021/02/soal-tweet-evolusi-abu-janda-ahli.html
Saat Moeldoko Bawa-bawa Luhut di Isu Kudeta Demokrat,POLITIK,"GELORA.CO - Polemik kudeta Partai Demokrat (PD) terus bergulir bak bola salju. Kini, nama Menko Kemaritiman dan Investasi Luhut Binsar Pandjaitan (LBP) dibawa-bawa Kepala Staf Kepresidenan (KSP) Moeldoko pusaran polemik tersebut. Luhut disebut pernah menemui kader Demokrat.Hal ihawal dibawa-bawanya Luhut saat Moeldoko mengungkapkan bukan hanya dia seorang yang pernah ditemui kader Partai Demokrat. Luhut Binsar Pandjaitan, kata Moeldoko, pernah ditemui para kader Demokrat tahun lalu.""Pak LBP juga pernah cerita sama saya, 'saya juga didatangin oleh mereka',"" kata Moeldoko dalam jumpa pers di kediamannya di kawasan Jakarta Pusat, Rabu (3/2/2021).Menurut penuturan Moeldoko, problem yang disampaikan para kader Partai Demokrat kepada Luhut Binsar Pandjaitan sama dengan yang diceritakan kepadanya. Jenderal purnawirawan ini pun heran dengan tudingan mau mengambil alih tampuk kekuasaan kepemimpinan Agus Harimurti Yudhoyono (AHY) di Partai Demokrat.""Case-nya juga sama. Tapi nggak ribet begini,"" ujarnya.""Mas AHY, apalagi kemarin dipilih secara aklamasi. Kenapa mesti takut dia. Kenapa mesti menanggapi seperti itu. Wong saya biasa-biasa saja. Dinamika dalam sebuah partai politik itu biasa, ya seperti itu,"" tutur Moeldoko.Merunut ke pertengahan tahun lalu, sejumlah kader senior Partai Demokrat menemui Luhut Binsar Pandjaitan. Mereka menanyakan perihal surat keputusan (SK) Ketua Umum AHY yang saat itu baru menjabat.""Itu memintakan pendapat beliau (Luhut) sebagai sesepuh, dianggap orang yang punya pemikiran luas tentang bagaimana aset nasional Partai Demokrat ini ke depan gitu,"" kata salah satu kader senior PD, Subur Sembiring, saat dihubungi, Selasa (9/6/2020).""Sehubungan dengan SK AHY yang tidak terbit juga sebagai ketua umum partai karena tidak bisa memenuhi administratif yang ditentukan oleh Menteri Hukum dan HAM, Peraturan Menteri Nomor 38 tahun 2017 13 ayat 3 itu,"" tambahnya.Pertemuan dengan Luhut itu terjadi, Senin (8/6) sore. Subur mengaku disarankan Luhut menemui Menkum HAM Yasonna Laoly untuk membahas SK AHY hasil Kongres PD bulan Maret 2020.""Artinya dia memberikan saran coba ke tempat Menkum HAM, jadi kan diajak bagaimana sebenernya duduk permasalahannya sehingga jalan keluarnya bagaimana, gitu saja,"" ujar Subur kala itu.Kembali ke Moeldoko membawa-membawa nama Luhut baru-buru ini, Juru Bicara (jubir) Luhut, Jodi Mahardi, membenarkan pernyataan Moeldoko. Namun, konteks pertemuan Luhut kala itu, kata Jodi, berbeda dengan yang hangat saat ini.Beda sih (pembahasannya) dengan yang ramai-ramai di pemberitaan sekarang,"" kata Jodi saat dimintai konfirmasi detikcom, Rabu (3/2/2021).Pertemuan Luhut dengan kader Demokrat kala itu menurut Jodi tidak direncanakan. Pembahasan merekan pun tak ada kaitannya dengan kudeta Partai Demokrat.""Waktu itu Pak Luhut pun terima tidak diagendakan atau direncanakan. Pak Luhut kan orangnya terbuka saja, apalagi ada salah satu yang hadir itu temannya,"" sebut Jodi.""Pembicaraannya nggak terkait dengan kudeta-kudetaan,"" imbuhnya.Jodi pun mengungkapkan Luhut juga pernah menerima kunjungan Ketum Demokrat AHY. Hubungan Luhut dengan Susilo Bambang Yudhoyono (SBY) dan AHY, kata Jodi, hingga kini berjalan dengan baik.""Pak Luhut waktu itu juga pernah terima AHY dan timnya di kediaman. Silaturahminya baik dengan Pak SBY dan AHY,"" terang Jodi.(dtk)",https://www.gelora.co/2021/02/saat-moeldoko-bawa-bawa-luhut-di-isu.html
Begini Kronologis Tew*snya Deki 'Golok' Versi KontraS,PERISTIWA,"GELORA.CO - Komisi Untuk Orang Hilang dan Korban Tindak Kekerasan (KontraS) mengecam penembakan terhadap Deki 'Golok', yang diduga memicu perusakan terhadap Mapolsek Sungai Pagu Solok Selatan.Menurut penelusuran KontraS, ada kesalahan prosedur dalam penanganan kasus yang menjerat Deki 'Golok'.Berdasarkan informasi yang kami dapatkan, pada 27 Januari 2021, aparat kepolisian dari kesatuan resor Solok Selatan datang dengan dua mobil mendatangi rumah korban dan mencari korban oleh karena masuk dalam Daftar Pencarian Orang (DPO) terkait kasus perjudian. Ketika itu polisi tidak menggunakan seragam, tidak memperlihatkan surat tugas, dan tanda pengenal, serta terlihat membawa senjata api,"" kata Divisi Pantas KontaS, Adelita Kasih dalam keterangan tertulisnya, Rabu (3/2/2021).KontraS menyebut polisi kemudian menggeledah kediaman Deki 'Golok'. Berdasarkan informasi yang didapat KontraS, Deki memang berada di dalam rumah.Namun, karena ketakutan, Deki melarikan diri. Menurut KontraS, saat itulah penembakan terjadi.""Setelahnya, para aparat kepolisian langsung masuk menggeledah seisi rumah dan menemukan korban berada di area dapur dan langsung menyergap korban, karena korban merasa ketakutan ditodong dengan senjata api, maka korban langsung melarikan diri dari pintu belakang,"" terang Adelita.""Sesaat baru lari keluar rumah, tiba-tiba korban ditembak di bagian kepala belakang oleh salah seorang polisi. Penembakan tersebut terjadi di hadapan istri dan anaknya. Setelah korban tergeletak tidak bernyawa, istri korban menjerit histeris dan tanpa alasan yang jelas polisi menembakan senjata ke atas sebanyak sekitar 4 (empat) kali tembakan,"" imbuhnya.Dari temuan tersebut, KontraS menyebut ada sejumlah indikasi kesalahan prosedur. KontraS menegaskan penggunaan senjata api seharusnya mengikuti ketentuan yang berlaku, salah satunya Peraturan Kapolri (Perkap) Nomor 1 Tahun 2009.""Atas kematian korban, kami mengindikasikan adanya praktik extrajudicial killing atau unlawful killing dalam peristiwa tersebut. Pasalnya, secara kepemilikan senjata, kepolisian pun lebih siap. Penggunaan senjata api semestinya memperhatikan baik UN Basic Principles on the Use of Force and Firearms by Law Enforcement Official maupun Perkap Nomor 1 Tahun 2009 tentang Penggunaan Kekuatan Dalam Tindakan Kepolisian, penggunaan senjata api hanya diperbolehkan untuk tujuan melumpuhkan bukan untuk membunuh,"" ucapnya.""Adanya korban tewas atas penggunaan senjata api oleh kepolisian menunjukkan masih banyak anggota Polri yang tidak menerapkan prinsip nesesitas, legalitas, dan proporsionalitas dalam menggunakan kekuatannya,"" sambung dia.KontaS juga mengaku menemukan sejumlah kejanggalan. Berikut kejanggalan yang ditemukan KontraS1. Tidak terdapat surat perintah penangkapan atau surat terkait upaya paksa kepolisian yang diberikan kepada tersangka atau keluarganya. Selain itu, Polisi tidak memperlihatkan surat tugas dan tanda pengenal;2. Justifikasi penembakan senjata api yang mematikan tidak terpenuhi. Korban sudah dalam keadaan terkepung dan tidak melakukan perlawanan yang dapat mengancam nyawa petugas. Saat itu, korban dikepung oleh sekitar 10 (sepuluh) orang yang beberapa diantaranya membawa senjata api, sehingga sangat tidak logis korban melakukan penyerangan dalam kondisi yang demikian;3. Tembakan diarahkan ke kepala. Korban ditembak di bagian belakang kepala. Sebuah posisi luka tembak yang langsung mengenai organ vital. Dari posisi luka tembak, kuat indikasi penembakan dilakukan memang dengan tujuan mematikan;4. Pasal yang disangkakan kepada pelaku penembakan adalah Pasal 351 Ayat (3) KUHP, hal mana mengatur mengenai penganiayaan yang berakibat matinya korban. Akan tetapi, bila merujuk pada fakta-fakta yang tersedia bahwa penembakan tertuju pada kepala korban yang dilakukan dalam jarak dekat, tentu telah membuat terang bahwa tindakan tersebut akan berakibat kematian. Lain halnya, jika tembakan diarahkan pada bagian tubuh korban yang lainnya.Penembakan terhadap Deki 'Golok' sebelumnya diduga memicu perusakan terhadap Mapolsek Sungai Pagu. Pihak keluarga menganggap terjadi pelanggaran HAM dalam insiden Deki 'Golok' tewas ditembak.(dtk)",https://www.gelora.co/2021/02/begini-kronologis-tewsnya-deki-golok.html
"Denny NJA: Demokrat Terbaik, PKS Paling Difavoritkan",POLITIK,"GELORA.CO - Poling selama 24 jam yang digelar @RMOL_id mengenai performa empat partai politik setelah Pilkada 2020 dan reshuffle Kabinet Indonesia Maju (KIM) berakhir sudah.Partai Demokrat yang dipimpin Agus Harimurti Yudhoyono (AHY) berada di posisi pertama. Dengan dukungan 87,2 persen partai yang sedang menjadi sorotan lantaran upaya penggulingan sang ketua umum oleh aktor-aktor internal dan eksternal ini meninggalkan tiga partai politik lainnya jauh di belakang.Partai Gerindra yang dipimpin Prabowo Subianto — sekarang Menteri Pertahanan — berada di urutan kedua dengan 6 persen dukungan.Adapun dua partai lainnya, PDI Perjuangan dan Partai Golkar, bersaing ketat.PDIP yang dipimpin Megawati Soekarnoputri memperoleh 3,6 persen, dan Partai Golkar yang dipimpin Airlangga Hartarto — kini Menko Perekonomian — memperoleh 3,2 perse. dukungan.Konstruksi pertanyaan dalam poling itu adalah: “Rasa-rasanya terjadi perubahan landscape politik seusai Pilkada 2020 dan reshuffle kabinet yang lalu. Dari empat partai ini, partai apa yg menurut saudara-saudara memiliki performa lebih baik?”Sampai ditutup beberapa saata lalu, sebanyak 3.330 pemilik akun Twitter memberikan suara pada poling yang menggunakan tagar #TwitPol24Jam itu.Satu hal yang cukup menarik adalah sebagian besar dari 268 pemilik akun Twitter yang memberikan komentar di kolom reply menyampaikan dukungan untuk Partai Keadilan Sejahtera (PKS) yang tidak ada dalam daftar pilihan partai.“PKS tidak dapat dimasukkan dalam daftar pilihan karena jumlah pilihan poling Twitter dibatasi maksimal empat,” ujar penyelenggara poling, Denny NJA.Namun demikian, tambahnya, pihak penyelenggara mengundang pemilik akun Twitter yang memiliki pandangan lain untuk menyampaikannya di kolom komentar atau reply.Widian menambahkan, pihaknya perlu menggarisbawahi bahwa poling ini hanya digunakan untuk memotret reaksi pemilik akun Twitter yang ingin memberikan suara atau pendapat untuk pertanyaan yang diajukan.“Ini bukan survei seperti layaknya survei yang dilakukan oleh lembaga-lembaga survei politik konvensional. Ini hanya poling singkat di Twitter, yang hanya merekam respon pihak-pihak yang ingin memberikan respon untuk pertanyaan yang diajukan,” demikian Denny NJA.(RMOL)",https://www.gelora.co/2021/02/denny-nja-demokrat-terbaik-pks-paling.html
